STATE,H_OR_S,DISTRICT,NAME,PARTY_R,YES,PERCENT_RURAL,MEAN_INCOME,PERCENT_PRIVATE,PERCENT_21_FBLA,PERCENT_21_FBA,PERCENT_21_W,PERCENT_21_B,PERCENT_21_H,CHANGE_FBLA,CHANGE_FBA,CHANGE_HISP,CHANGE_A,,,,,,
GA,S,25,Jones,1,1,58.97,82675,15.07,1.64,0.74,63.4,29.34,3.91,-0.25,0.18,0.96,0.21,,,,,,
GA,S,26,Lucas,0,0,28.23,50875,16.16,1.1,0.46,33.6,60.29,2.89,-0.78,-0.47,-0.15,-0.38,,,,,,
GA,S,27,Dolezal,1,1,10.2,145989,16.81,4.89,11.25,67.82,3.81,9.47,-0.7,8,-0.16,11.24,,,,,,
GA,S,28,Brass,1,1,49.51,97467,17.32,3.3,1.43,72.47,16.65,6.37,0.34,0.77,1.06,0.91,,,,,,
GA,S,29,Robertson,1,1,48.99,82897,14.89,1.91,1.8,59.26,29.05,6.23,0.46,0.12,2.4,0.44,,,,,,
GA,S,30,Dugan,1,0,52.33,83558,10.58,3.91,0.86,65.16,23.44,6.77,0.08,-0.07,0.66,-0.08,,,,,,
GA,S,31,Anavitarte,1,0,25.52,84179,10.41,3.67,0.91,72.01,15.53,8.07,-0.17,0.41,0.83,0.23,,,,,,
GA,S,32,Kirkpatrick,1,1,1.73,158356,21.53,4.2,7.82,70.56,8.87,7.13,0,1.07,0.6,1.93,,,,,,
GA,S,33,Rhett,0,0,0,87001,11.26,11.96,2.23,33.49,41.39,19.66,-1.84,0.06,0.22,0.5,,,,,,
GA,S,34,Seay,0,0,2.33,64454,14.1,7.05,2.6,12.77,68.97,12.99,1.09,0.1,5.13,-0.02,,,,,,
GA,S,35,James,0,0,3.09,78665,12.63,5.23,0.67,17.99,70.93,8.38,-0.06,-0.12,1.32,-0.15,,,,,,
GA,S,36,Orrock,0,0,0,95161,22,3.54,2.06,33.07,53.07,6.9,-1.15,-0.2,-0.09,0.77,,,,,,
GA,S,37,Tippins,1,0,1.74,120810,15.53,5.8,3.57,61.01,20.71,10.18,0.72,0.65,2.34,0.73,,,,,,
GA,S,38,Tate,0,0,0,96691,19.68,5.79,1.95,22.36,62.81,9.78,1.32,0.41,3.36,0.94,,,,,,
GA,S,39,Halpern,0,0,0,98574,20.31,2.52,4.05,27.58,59.67,4.87,-0.71,0.38,-2,0.71,,,,,,
GA,S,40,Harrell,0,0,0,129989,29.61,8.55,8.71,52.25,16.71,16.89,-4.01,0.35,-0.33,0.6,,,,,,
GA,S,41,Jackson,0,0,0,75252,11.04,8.75,10.56,18.98,50.17,15.07,-2.02,2.93,-0.47,3.16,,,,,,
GA,S,42,Parent,0,0,0,130664,34.75,6.21,5.36,53.84,22.31,12.43,-1.29,1.14,1.2,1.24,,,,,,
GA,S,43,Anderson,0,0,10.69,74946,11.95,6.87,0.92,22.03,65.71,7.44,-0.23,-0.12,1.85,-0.02,,,,,,
GA,S,44,Davenport,0,0,0.82,78489,13.16,5.54,3.37,12.62,70.15,10.07,-3.9,-2.26,-4.95,-2.39,,,,,,
GA,S,45,Dixon,1,1,5.33,120117,13.72,8.5,8.76,51.11,17.29,16.27,1.17,1.92,4.33,3.53,,,,,,
GA,S,46,Cowsert,1,1,33.35,90048,10.75,3.14,2.42,68.71,18.62,6.6,-1.1,0.14,-0.29,0.08,,,,,,
GA,S,48,Au,0,0,0,123368,17.45,7.3,19.55,39.15,18.14,14.37,1.67,4.02,5.79,4.22,,,,,,
GA,S,49,Miller,1,1,20.78,94756,12.41,13.14,1.48,60.18,7.14,28.06,-0.07,0.19,3.43,0.03,,,,,,
GA,S,50,Hatchett,1,1,78.98,71739,17.09,4.56,1.03,79.59,5.98,10.82,1.47,0.2,4.91,0.42,,,,,,
